id;latitude;longitude;timestamp;device_id;status
1;4594.03;16361.81;2025-02-12T08:13:53;briefly;jubilantly charm physically
2;15448.16;29033.06;2025-02-11T23:18:28;kick but;scented
3;4101.8;32155.82;2025-02-11T17:02:23;trolley sanity braid;what positively
4;32597.58;12107.09;2025-02-12T06:39:33;beneath lazily;fibre pear
5;7167.93;3689.41;2025-02-12T04:46:29;drat mysterious;whoa gift accountability
6;31482.04;17847.02;2025-02-12T09:32:48;a;that between close
7;15135.58;29309.6;2025-02-12T08:45:26;hovel;toward phew
8;4156.48;6747.8;2025-02-11T22:42:28;midst notwithstanding mid;whereas
9;24559.89;17332.71;2025-02-12T03:32:26;flame;leading plus tough
10;21182.05;23908.33;2025-02-12T06:16:39;zowie;leading till
