id;latitude;longitude;timestamp;device_id;status
1;2478.89;28947.99;2025-02-12T08:11:16;shocked;coolly pupil quaff
2;26807.07;9475.54;2025-02-12T00:53:17;whose;towards
3;15481.88;12383.17;2025-02-12T01:22:01;ew cinema minus;pillow notwithstanding
4;19586.89;6418.86;2025-02-12T01:01:14;clinking shimmering er;round since perfectly
5;20424.55;20852.29;2025-02-12T00:54:07;following amongst so;so thigh until
6;19315.05;31399.53;2025-02-11T15:11:18;gosh inveigle whoever;beneath where
7;10778.02;24054.24;2025-02-11T18:27:17;thick quick-witted violent;recklessly proselytise until
8;27570.74;21683.57;2025-02-11T11:16:26;ah carouse;yippee catalyze
9;24046.99;30964.07;2025-02-12T09:55:34;or that upliftingly;willow
10;5908.31;10430.91;2025-02-11T16:56:02;ew times bolster;sleepily unimpressively eek
