id;text;audio;audio_content_type;upload_date_time;language;difficulty_level
1;suckle;../fake-data/blob/hipster.png;image/png;2025-01-26T06:43:16;hoick qua huzzah;6829
2;joyously worst;../fake-data/blob/hipster.png;image/png;2025-01-25T15:43:48;mallard sleepily wound;15993
3;worth astride towards;../fake-data/blob/hipster.png;image/png;2025-01-25T18:19:19;oof;31750
4;aftermath proliferate;../fake-data/blob/hipster.png;image/png;2025-01-25T11:30:16;wedding fluffy;25075
5;given next yuck;../fake-data/blob/hipster.png;image/png;2025-01-25T12:42:48;breed limp;354
6;drain;../fake-data/blob/hipster.png;image/png;2025-01-25T22:37:54;meh kettledrum;3917
7;and;../fake-data/blob/hipster.png;image/png;2025-01-25T20:08:17;hence which;22987
8;yippee;../fake-data/blob/hipster.png;image/png;2025-01-26T06:07:14;profane;11988
9;gentle far-flung;../fake-data/blob/hipster.png;image/png;2025-01-25T21:44:36;for;2653
10;mid considering bludgeon;../fake-data/blob/hipster.png;image/png;2025-01-26T02:58:06;gosh jealous;12122
