id;habit_id;habit_name;description;category;start_date;end_date
1;28846;zowie;back below nippy;tenderly;mechanically motor oof;phooey
2;25347;wetly;morning flat;give aw across;a;factorize
3;1069;mechanically;aside;overspend elliptical dime;refer ew;customise velvety
4;11575;trust infinite blah;misspend;whereas silently;formal;on
5;15260;during linear;up whitewash;gosh alongside yawn;minister yahoo;gah
6;32557;tender give an;acclaimed upright cardboard;shovel;ouch boggle intend;plain moral if
7;15449;bookend taut;present;absent;permafrost consequently;dividend
8;7934;baseboard avalanche;ingratiate between;puzzled redound;ill giving troubled;very
9;28057;provided wherever abaft;hoarse upward;for gadzooks;fooey;carpool yak resort
10;12656;beyond substantiate;good-natured lest;amidst aside an;nun always emboss;ameliorate airmail
