id;habit_id;habit_name;description;start_date;end_date
1;4500;lest pertain which;aside;without aha now;putrefy
2;16144;scowl lounge;e-mail crank;bare ew reprimand;with wetly wherever
3;32647;hoarse;foretell weakly tune-up;lecture shakily;pip elver
4;7188;sans wallop hm;petty heavy;vibraphone;times
5;27703;psst tensely;lazily;gee;which lest
6;6055;tightly once fork;um ah pace;any violently unnaturally;gadzooks since tremendously
7;31062;pro;wilderness frightened pry;meanwhile boring after;oof
8;2364;boohoo;condense scale;exalted;past
9;27588;acidly apricot huzzah;midst armoire;alongside along cricket;insidious out and
10;9509;including aw;pace;captain;if woot
