id;total_working_hour;daily_duration_of_work;split_break_duration;break_duration;completed_breaks;date_of_pomodoro;time_of_pomodoro_creation;notification_for_break;final_message
1;31971;19426;25007;4961;18016;2025-01-22T07:28:25;2025-01-21T23:55:40;true;grok
2;22026;25520;32266;25249;28907;2025-01-21T23:30:57;2025-01-21T18:01:41;false;excepting
3;20966;23536;12241;27516;9937;2025-01-21T23:41:28;2025-01-22T05:41:09;true;fail
4;22073;1519;8822;18130;25599;2025-01-22T07:06:40;2025-01-22T00:18:12;false;till
5;10128;11711;12646;29101;22893;2025-01-22T00:19:53;2025-01-22T06:42:35;true;selfishly judgementally phew
6;15270;13307;11783;14841;12881;2025-01-21T15:05:43;2025-01-22T03:42:15;true;quarrelsomely behind apud
7;6226;32663;32034;31335;1752;2025-01-22T09:41:03;2025-01-21T23:47:41;false;issue forgather
8;28849;27492;32661;21511;6012;2025-01-22T03:59:29;2025-01-21T18:17:49;false;status competent whenever
9;8621;10473;17598;16420;15606;2025-01-21T20:33:58;2025-01-22T02:47:07;true;once bravely granular
10;17816;18852;2021;10125;17360;2025-01-21T16:46:18;2025-01-21T18:50:57;false;where fooey
